0,1,2
apd-1u5jh8e.v.smtcdns.com,-1.0,1.0
cdn-edge-1a-rbx-fr-ovh.gogcdn.net,-1.0,1.0
467.sp.spcdntip.com,-1.0,-1.0
img.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
967.sp.spcdntip.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
530629.p29.tcdnvod.com,-1.0,-1.0
v11-xg.ixigua.com.v4.tcdnvod.com,-1.0,-1.0
vod2.china.qiniu.stage.tcdnvod.com,-1.0,-1.0
img3m3.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
ctslb-bgp-oy-cnc.ctripgslb.com,-1.0,-1.0
img-llnw-621.xvideos-cdn.com,-1.0,1.0
949.sp.spcdntip.com,-1.0,-1.0
img7x0.ddimg.cn.xdy-cdn.cn,1.0,-1.0
img03.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
a.vimage1.com.mccdnglb.com,1.0,-1.0
881.sp.spcdntip.com,-1.0,-1.0
711.sp.spcdntip.com,-1.0,-1.0
342553.stage.tcdnvod.com,-1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
img02.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img1-xydfn-com.ruisucdn.com,-1.0,-1.0
356176.sp.spcdntip.com,-1.0,-1.0
cdn.cp43.ott.cibntv.net.mccdnglb.com,-1.0,-1.0
tx.acgvideo.com.stage.tcdnvod.com,-1.0,-1.0
mg.bc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
z010-al02-01.greycdn.net,-1.0,1.0
m-bj-bendibao-com.mipcdn.com,-1.0,-1.0
www-360doc-cn.mipcdn.com,-1.0,-1.0
img-llnw-551.xvideos-cdn.com,-1.0,1.0
mobubt-oysyn.ctrip.com.cnc.oy.ctripgslb.com,-1.0,-1.0
925uu.com.greycdn.net,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
m-southmoney-com.mipcdn.com,-1.0,-1.0
img.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
ctslb-oy-bgp-cnc.ctripgslb.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,-1.0,-1.0
682.sp.spcdntip.com,-1.0,-1.0
v11-xg.ixigua.com.v4.tcdnvod.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
530629.p29.tcdnvod.com,-1.0,-1.0
p2paudio.ctrip.com.oy.cnc.ctripgslb.com,-1.0,-1.0
galaxy.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
txcdn.xgd666.com.stage.tcdnvod.com,-1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
v11-xg.ixigua.com.v4.tcdnvod.com,-1.0,-1.0
112.sp.spcdntip.com,-1.0,-1.0
684397.p29.tcdnvod.com,-1.0,-1.0
img3m8.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
apd-1uc3pgn.v.smtcdns.com,-1.0,-1.0
957.sp.spcdntip.com,-1.0,-1.0
xlog.qcdqcdn.com,1.0,-1.0
static.u17i.com.gosuncdn.com,-1.0,-1.0
560.sp.spcdntip.com,-1.0,-1.0
m.ctrip.com.ctripgslb.com,1.0,-1.0
ctslb-bgp-jq-cnc.ctripgslb.com,-1.0,1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
ns2.dns02.gosuncdn.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
m-120ask-com.mipcdn.com,-1.0,-1.0
196.sp.spcdntip.com,-1.0,-1.0
img.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
mip-xiziwang-net.mipcdn.com,-1.0,-1.0
img-llnw-783.xvideos-cdn.com,-1.0,1.0
467.sp.spcdntip.com,-1.0,-1.0
381.sp.spcdntip.com,-1.0,-1.0
img7x0.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
342549.stage.tcdnvod.com,-1.0,-1.0
553475.stage.tcdnvod.com,-1.0,-1.0
938.sp.spcdntip.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
m-iask-sina-com-cn.mipcdn.com,-1.0,-1.0
342551.stage.tcdnvod.com,-1.0,-1.0
img01.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
flv.bitauto.com.mmycdn.com,1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
196.sp.spcdntip.com,-1.0,-1.0
467.sp.spcdntip.com,-1.0,-1.0
a.vimage1.com.mccdnglb.com,-1.0,-1.0
ns2.stripcdn.com,1.0,-1.0
img02.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
m-gz-bendibao-com.mipcdn.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
462821.stage.tcdnvod.com,-1.0,-1.0
image.sp.spcdntip.com,1.0,-1.0
img5.u17i.com.gosuncdn.com,-1.0,-1.0
mg.bc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
ptd.youyuan.com.mccdnglb.com,1.0,-1.0
ns2.dns02.gosuncdn.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
baidu.lc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
ctslb-bgp-oy10.ctripgslb.com,-1.0,-1.0
208.sp.spcdntip.com,-1.0,-1.0
862.sp.spcdntip.com,-1.0,-1.0
p29.cache.qcloudcdn.com.p29.tcdnvod.com,-1.0,-1.0
tx.acgvideo.com.v3.tcdnvod.com,-1.0,-1.0
v11-tt.ixigua.com.v4.tcdnvod.com,-1.0,-1.0
img7x1.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
img-llnw-305.xvideos-cdn.com,-1.0,-1.0
img04.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
940.sp.spcdntip.com,-1.0,-1.0
img3m9.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
img03.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
123p0.sogoucdn.com.stage.tcdnvod.com,-1.0,-1.0
ptw.youyuan.com.mccdnglb.com,-1.0,-1.0
ctslb-bgp-jq.ctripgslb.com,-1.0,-1.0
img-llnw-857.xvideos-cdn.com,-1.0,1.0
y01-p39-01x.greycdn.net,-1.0,-1.0
a.vimage1.com.mccdnglb.com,-1.0,-1.0
342548.stage.tcdnvod.com,-1.0,-1.0
img3x8.ddimg.cn.xdy-cdn.cn,1.0,-1.0
vodv2.cdn.myqcloud.com.stage.tcdnvod.com,-1.0,-1.0
m-120ask-com.mipcdn.com,-1.0,-1.0
ctslb-bgp-oy10.ctripgslb.com,-1.0,1.0
941.sp.spcdntip.com,-1.0,-1.0
vodv2.cdn.myqcloud.com.stage.tcdnvod.com,-1.0,-1.0
mip-xiachufang-com.mipcdn.com,-1.0,-1.0
img7x8.ddimg.cn.xdy-cdn.cn,1.0,-1.0
vod2.china.qiniu.stage.tcdnvod.com,-1.0,-1.0
apd-1uc3p4i.v.smtcdns.com,-1.0,1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
585.sp.spcdntip.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
ctslb-bgp-oy50.ctripgslb.com,-1.0,1.0
jdod.sign.qingting.fm.vod.galileo.jcloud-cdn.com,-1.0,-1.0
kuaishou.p29.tcdnvod.com,-1.0,-1.0
356176.sp.spcdntip.com,-1.0,-1.0
img4.dangdang.com.xdy-cdn.cn,1.0,-1.0
ottvideoyd.hifuntv.com.p30.tcdnvod.com,-1.0,-1.0
