sourceTransportPort,destinationTransportPort,flowStartSeconds,flowEndSecond,DNSQueryName,label,Total count of characters in FQDN,subdomain_len,upper_count,number_count,begin_with_num,entropy,label_count,max_label_length,avg_label_length
54243,53,1507663093.0,1507663099.0,img13.ddimg.cn.xdy-cdn.cn,0,25.0,5.0,0.0,2.0,0.0,3.383465189601647,5.0,7.0,4.2
13380,53,1502583899.0,1502583906.0,342550.stage.tcdnvod.com,0,24.0,6.0,0.0,6.0,1.0,3.9701755214643453,4.0,7.0,5.25
2048,53,1507861351.0,1507861354.0,wapask--mip-39-net.mipcdn.com,0,29.0,18.0,0.0,2.0,0.0,3.909368063943885,3.0,18.0,9.0
40437,53,1502771908.0,1502771914.0,img03.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,2.0,0.0,3.739815461015533,6.0,8.0,5.166666666666667
59200,53,1507903111.0,1507903117.0,vid-egc.xvideos-cdn.com,0,23.0,7.0,0.0,0.0,0.0,3.5883543471732335,3.0,11.0,7.0
35543,53,1508118511.0,1508118517.0,256.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.536886723742167,4.0,8.0,4.0
31696,53,1502807698.0,1502807699.0,993.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.431623565847431,4.0,8.0,4.0
38598,53,1502521031.0,1502521037.0,390137.sp.spcdntip.com,0,22.0,6.0,0.0,6.0,1.0,3.754441845713344,4.0,8.0,4.75
49430,53,1507287518.0,1507287524.0,a.vimage1.com.mccdnglb.com,0,26.0,1.0,0.0,1.0,0.0,3.546593564294938,5.0,8.0,4.4
54725,53,1508135216.0,1508135216.0,img58.ddimg.cn.xdy-cdn.cn,0,25.0,5.0,0.0,2.0,0.0,3.383465189601647,5.0,7.0,4.2
30709,53,1507523563.0,1507523564.0,ctslb-bgp-oy-cnc.ctripgslb.com,0,30.0,16.0,0.0,0.0,0.0,3.7362434129830597,3.0,16.0,9.333333333333334
1519,53,1507181363.0,1507181363.0,530629.p29.tcdnvod.com,0,22.0,6.0,0.0,8.0,1.0,3.7887549139935026,4.0,7.0,4.75
44310,53,1502692579.0,1502692585.0,530629.p29.tcdnvod.com,0,22.0,6.0,0.0,8.0,1.0,3.7887549139935026,4.0,7.0,4.75
18314,53,1506182113.0,1506182114.0,ns1.dns02.gosuncdn.com,0,22.0,3.0,0.0,3.0,0.0,3.3908054820769817,4.0,8.0,4.75
47923,53,1507737758.0,1507737758.0,tx.acgvideo.com.v3.tcdnvod.com,0,30.0,2.0,0.0,1.0,0.0,3.5362434129830604,6.0,8.0,4.166666666666667
38250,53,1507825668.0,1507825668.0,vod2.china.qiniu.stage.tcdnvod.com,0,34.0,4.0,0.0,1.0,0.0,3.870284076978158,6.0,7.0,4.833333333333333
41179,53,1507180318.0,1507180319.0,585.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.4316235658474303,4.0,8.0,4.0
14791,53,1507857015.0,1507857016.0,cdn.sp.spcdntip.com,0,19.0,3.0,0.0,0.0,0.0,3.181366328891459,4.0,8.0,4.0
53592,53,1507529266.0,1507529272.0,p2paudio.ctrip.com.oy.cnc.ctripgslb.com,0,39.0,8.0,0.0,1.0,0.0,3.8040063852515473,7.0,9.0,4.714285714285714
53608,53,1508083941.0,1508083947.0,kuaishou.p29.tcdnvod.com,0,24.0,8.0,0.0,2.0,0.0,3.9387218755408675,4.0,8.0,5.25
29784,53,1507773890.0,1507773896.0,img-llnw-987.xvideos-cdn.com,0,28.0,12.0,0.0,3.0,0.0,4.066108939837481,3.0,12.0,8.666666666666666
46016,53,1502697650.0,1502697656.0,tencent.myaora.net.stage.tcdnvod.com,0,36.0,7.0,0.0,0.0,0.0,3.573148794348867,6.0,7.0,5.166666666666667
57304,53,1501672916.0,1501672916.0,img03.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,2.0,0.0,3.739815461015533,6.0,8.0,5.166666666666667
56327,53,1507831731.0,1507831732.0,baidu.lc.gsvc.dns02.gosuncdn.com,0,32.0,5.0,0.0,2.0,0.0,3.753928031846024,6.0,8.0,4.5
6240,53,1502892011.0,1502892011.0,299.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.4316235658474303,4.0,8.0,4.0
56218,53,1507246630.0,1507246637.0,a.vimage1.com.mccdnglb.com,0,26.0,1.0,0.0,1.0,0.0,3.546593564294938,5.0,8.0,4.4
42941,53,1507720141.0,1507720142.0,cdn4-image-keezmovies.spankcdn.net,0,34.0,21.0,0.0,1.0,0.0,3.9812969449433746,3.0,21.0,10.666666666666666
15800,53,1508083252.0,1508083258.0,m-tiegu-com.mipcdn.com,0,22.0,11.0,0.0,0.0,0.0,3.5160276412662306,3.0,11.0,6.666666666666667
32407,53,1507812983.0,1507812984.0,260.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.5368867237421666,4.0,8.0,4.0
9395,53,1502535818.0,1502535824.0,710.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.5368867237421666,4.0,8.0,4.0
51173,53,1501639562.0,1501639563.0,123p0.sogoucdn.com.stage.tcdnvod.com,0,36.0,5.0,0.0,4.0,1.0,3.8928647666912815,6.0,8.0,5.166666666666667
27334,53,1502799568.0,1502799569.0,925.sp.spcdntip.com,0,19.0,3.0,0.0,3.0,1.0,3.536886723742167,4.0,8.0,4.0
14887,53,1508118181.0,1508118187.0,img50.ddimg.cn.xdy-cdn.cn,0,25.0,5.0,0.0,2.0,0.0,3.3834651896016465,5.0,7.0,4.2
30844,53,1507173125.0,1507173131.0,ctslb-bgp-oy-cnc.ctripgslb.com,0,30.0,16.0,0.0,0.0,0.0,3.7362434129830597,3.0,16.0,9.333333333333334
