0,1,2
www.shajing.gov.cn,1.0,-1.0
b._dns-sd._udp.expressvpn,-1.0,-1.0
aaicweb05.henggang.longgang.szaic.gov.cn,-1.0,-1.0
retracker.local,-1.0,-1.0
ns1.szbts.gov.cn,1.0,-1.0
blog.shajing.gov.cn,1.0,-1.0
sz12333.gov.cn,1.0,-1.0
BRN30055C81C5A4.staff.ad.curtin.edu.au,-1.0,-1.0
wpad.szgroup.com,1.0,-1.0
ns2.szbts.gov.cn,1.0,-1.0
wpad.staff.ad.curtin.edu.au,1.0,-1.0
ns1.szbts.gov.cn,1.0,-1.0
mail.szbts.gov.cn,1.0,-1.0
mmtgwptphwajjo.expressvpn,-1.0,-1.0
www.gdczqts.gov.cn,1.0,-1.0
sccmpmp01.staff.ad.curtin.edu.au,-1.0,-1.0
wpad.szcdc.com,1.0,-1.0
ns2.szbts.gov.cn,1.0,-1.0
wpad.staff.ad.curtin.edu.au,-1.0,-1.0
ns2.szbts.gov.cn,1.0,-1.0
isatap.szaic.gov.cn,1.0,-1.0
sz12333.gov.cn,1.0,-1.0
www.zgdb.gov.cn,1.0,-1.0
msadsta08.staff.ad.curtin.edu.au,-1.0,-1.0
_ldap._tcp.dc._msdcs.szaic.gov.cn,-1.0,-1.0
sz12333.gov.cn,1.0,-1.0
_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.szzftzsjzyj.gov.cn,-1.0,-1.0
msadsta13.staff.ad.curtin.edu.au,-1.0,-1.0
www.lgtj.gov.cn,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
www.bapx.gov.cn,1.0,-1.0
www.xmjcj.gov.cn,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
www.trpeace.gov.cn,1.0,-1.0
msadsta13.staff.ad.curtin.edu.au,-1.0,-1.0
sz12333.gov.cn,1.0,-1.0
BRN30055C81C5A4.ad.curtin.edu.au,-1.0,1.0
_ptp._tcp.bogon,1.0,-1.0
ns1.szbts.gov.cn,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
msadsta10.staff.ad.curtin.edu.au,-1.0,-1.0
www.lgtj.gov.cn,1.0,-1.0
www.szwen.gov.cn,1.0,-1.0
aaicweb05.henggang.longgang.szaic.gov.cn,-1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
www.xgwt.gov.cn,1.0,-1.0
www.gdczqts.gov.cn,1.0,-1.0
www.serc.gov.cn,1.0,-1.0
www.hbwsjs.gov.cn,1.0,-1.0
www.gdczqts.gov.cn,1.0,-1.0
ns2.szbts.gov.cn,1.0,-1.0
shajing.gov.cn,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
msadsta05.staff.ad.curtin.edu.au,-1.0,-1.0
oa.szwb.gov.cn,1.0,-1.0
www.szft.gov.cn,1.0,-1.0
ns2.huzhou.gov.cn,1.0,-1.0
msadsta07.staff.ad.curtin.edu.au,-1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
www.bapx.gov.cn,1.0,-1.0
www.bapx.gov.cn,1.0,-1.0
fatagqrzqcsp.lan,-1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
msadsta13.staff.ad.curtin.edu.au,-1.0,-1.0
sccm-lu1-dp3.lunet.lboro.ac.uk,-1.0,1.0
www.rxga.gov.cn,1.0,-1.0
zwgk.fengkai.gov.cn,1.0,-1.0
sccmpmp01.staff.ad.curtin.edu.au,-1.0,-1.0
www.gdczqts.gov.cn,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
ç°å­.xwxx.com,1.0,-1.0
ns2.szbts.gov.cn,1.0,-1.0
www.gdczqts.gov.cn,1.0,-1.0
www.szwb.gov.cn,1.0,-1.0
app01.szaic.gov.cn,1.0,-1.0
wpad.szcdc.com,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
www.lgtj.gov.cn,1.0,-1.0
szcdc.com,-1.0,-1.0
msadsta11.staff.ad.curtin.edu.au,-1.0,-1.0
www.bapx.gov.cn,1.0,-1.0
syjj.sccn.gov.cn,1.0,-1.0
msadsta11.staff.ad.curtin.edu.au,-1.0,-1.0
bbs.huaiyang.gov.cn,1.0,-1.0
www.gdczqts.gov.cn,1.0,-1.0
_ldap._tcp.dc._msdcs.vds.cgzxclouds.com,-1.0,-1.0
_ldap._tcp.dc._msdcs.101bzzx.com,-1.0,-1.0
www.gdczqts.gov.cn,1.0,-1.0
BRN30055C81C5A4.ad.curtin.edu.au,-1.0,1.0
wpad.ad.curtin.edu.au,1.0,-1.0
wz.sanshui.gov.cn,1.0,-1.0
BRN30055C81C5A4.staff.ad.curtin.edu.au,-1.0,-1.0
_ldap._tcp.dc._msdcs.szgroup.com,-1.0,-1.0
_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.101bzzx.com,-1.0,-1.0
mvitdjeusugxkq.workgroup,-1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
lb._dns-sd._udp.expressvpn,-1.0,-1.0
BRN30055C81C5A4.staff.ad.curtin.edu.au,-1.0,-1.0
ns.curtin.edu.au,1.0,-1.0
wpad.staff.ad.curtin.edu.au,-1.0,-1.0
_ldap._tcp.dc._msdcs.ter.mpi-marburg.de,-1.0,-1.0
ns2.szbts.gov.cn,1.0,-1.0
jjvacmxqwsxg.local,-1.0,-1.0
www.bapx.gov.cn,1.0,-1.0
www.xadrc.gov.cn,1.0,-1.0
www.pzhswj.gov.cn,1.0,-1.0
nwnkuezp.lan,-1.0,-1.0
www.szwen.gov.cn,1.0,-1.0
BRN30055C81C5A4.staff.ad.curtin.edu.au,-1.0,-1.0
xqywgkku.workgroup,-1.0,-1.0
www.zhongjiang.gov.cn,1.0,-1.0
BRN30055C81C5A4.staff.ad.curtin.edu.au,-1.0,-1.0
msadsta04.staff.ad.curtin.edu.au,-1.0,-1.0
ns1.szbts.gov.cn,1.0,-1.0
_uscans._tcp.bogon,1.0,-1.0
www.bapx.gov.cn,1.0,-1.0
www.sgedu.gov.cn,1.0,-1.0
wpad.JDJR.360buyAD.local,-1.0,-1.0
www.emeishan.gov.cn,1.0,-1.0
www.gdczqts.gov.cn,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
www.ahgd.gov.cn,1.0,-1.0
msadsta11.staff.ad.curtin.edu.au,-1.0,-1.0
sccmpmp01.staff.ad.curtin.edu.au,-1.0,-1.0
wpad.staff.ad.curtin.edu.au,-1.0,-1.0
shajing.gov.cn,1.0,-1.0
www.xgjw.gov.cn,1.0,-1.0
msadsta02.staff.ad.curtin.edu.au,-1.0,-1.0
BRN30055C81C5A4.staff.ad.curtin.edu.au,-1.0,-1.0
_atc._tcp.bogon,1.0,-1.0
oa.szwb.gov.cn,1.0,-1.0
ns1.szbts.gov.cn,1.0,-1.0
www.szgs.gov.cn,1.0,-1.0
gdserver.sutpcgd.local,1.0,-1.0
www.henan.gov.cn,1.0,-1.0
www.bapx.gov.cn,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
retracker.local,-1.0,-1.0
BRN30055C81C5A4.staff.ad.curtin.edu.au,-1.0,-1.0
msadsta06.staff.ad.curtin.edu.au,-1.0,-1.0
b._dns-sd._udp.expressvpn,-1.0,-1.0
AICDC02.szaic.gov.cn,-1.0,-1.0
www.fsi.gov.cn,1.0,-1.0
msadsta08.staff.ad.curtin.edu.au,-1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
_ldap._tcp.Default-First-Site-Name._sites.comtop.local,-1.0,-1.0
wpad.szcdc.com,1.0,-1.0
DELL-PC.szcdc.com,1.0,-1.0
wpad.szgroup.com,1.0,-1.0
_ldap._tcp.szgov92.com,1.0,-1.0
www.bapx.gov.cn,1.0,-1.0
PC-LIANGHAOXIN.101bzzx.com,-1.0,-1.0
ns2.szbts.gov.cn,1.0,-1.0
www.lgtj.gov.cn,1.0,-1.0
www.sncsspyjj.gov.cn,1.0,-1.0
msadsta09.staff.ad.curtin.edu.au,-1.0,-1.0
gdserver.sutpcgd.local,1.0,-1.0
BRN30055C81C5A4.ad.curtin.edu.au,-1.0,1.0
www.henan.gov.cn,1.0,-1.0
shajing.gov.cn,1.0,-1.0
msadsta05.staff.ad.curtin.edu.au,-1.0,-1.0
apvgfdilz.workgroup,-1.0,-1.0
www.qj.gov.cn,1.0,-1.0
bbs.mas.gov.cn,1.0,-1.0
_uscan._tcp.bogon,1.0,-1.0
NPIF284CF.gov.cn,-1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
rnybuebld.DHCP HOST,-1.0,-1.0
isatap.vcl2728.com,1.0,-1.0
ns2.szbts.gov.cn,1.0,-1.0
www.hbzffz.gov.cn,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
msadsta04.staff.ad.curtin.edu.au,-1.0,-1.0
ns2.szbts.gov.cn,1.0,-1.0
msadsta13.staff.ad.curtin.edu.au,-1.0,-1.0
